Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
,50,32,.610,—,117.9,115.6,2.30,Dallas Mavericks*,2024
,49,33,.598,1.0,115.1,110.7,4.46,New Orleans Pelicans*,2024
,41,41,.500,9.0,114.3,113.2,1.24,Houston Rockets,2024
,27,55,.329,23.0,105.8,112.8,-6.57,Memphis Grizzlies,2024
,22,60,.268,28.0,112.1,118.6,-5.80,San Antonio Spurs,2024
Boston Celtics*,64,18,.780,—,120.6,109.2,10.75,,2024
New York Knicks*,50,32,.610,14.0,112.8,108.2,4.36,,2024
Milwaukee Bucks*,49,33,.598,15.0,119.0,116.4,2.44,,2024
Cleveland Cavaliers*,48,34,.585,16.0,112.6,110.2,1.98,,2024
Orlando Magic*,47,35,.573,17.0,110.5,108.4,1.48,,2024
Indiana Pacers*,47,35,.573,17.0,123.3,120.2,2.75,,2024
Philadelphia 76ers*,47,35,.573,17.0,114.6,111.5,2.51,,2024
Miami Heat*,46,36,.561,18.0,110.1,108.4,1.10,,2024
Chicago Bulls,39,43,.476,25.0,112.3,113.7,-1.77,,2024
Atlanta Hawks,36,46,.439,28.0,118.3,120.5,-2.38,,2024
Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02,,2024
Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45,,2024
Charlotte Hornets,21,61,.256,43.0,106.6,116.8,-10.12,,2024
Washington Wizards,15,67,.183,49.0,113.7,123.0,-9.29,,2024
Detroit Pistons,14,68,.171,50.0,109.9,119.0,-9.06,,2024
,57,25,.695,—,120.1,112.7,7.36,Oklahoma City Thunder*,2024
,57,25,.695,—,114.9,109.6,5.23,Denver Nuggets*,2024
,56,26,.683,1.0,113.0,106.5,6.39,Minnesota Timberwolves*,2024
,51,31,.622,6.0,115.6,112.3,3.41,Los Angeles Clippers*,2024
,50,32,.610,7.0,117.9,115.6,2.30,Dallas Mavericks*,2024
,49,33,.598,8.0,116.2,113.2,3.08,Phoenix Suns*,2024
,49,33,.598,8.0,115.1,110.7,4.46,New Orleans Pelicans*,2024
,47,35,.573,10.0,118.0,117.4,1.07,Los Angeles Lakers*,2024
,46,36,.561,11.0,116.6,114.8,2.29,Sacramento Kings,2024
,46,36,.561,11.0,117.8,115.2,2.77,Golden State Warriors,2024
,41,41,.500,16.0,114.3,113.2,1.24,Houston Rockets,2024
,31,51,.378,26.0,115.7,120.5,-4.22,Utah Jazz,2024
,27,55,.329,30.0,105.8,112.8,-6.57,Memphis Grizzlies,2024
,22,60,.268,35.0,112.1,118.6,-5.80,San Antonio Spurs,2024
,21,61,.256,36.0,106.4,115.4,-8.29,Portland Trail Blazers,2024
Boston Celtics*,61,21,.744,—,116.3,107.2,8.28,,2025
New York Knicks*,51,31,.622,10.0,115.8,111.7,3.59,,2025
Toronto Raptors,30,52,.366,31.0,110.9,115.2,-4.40,,2025
Brooklyn Nets,26,56,.317,35.0,105.1,112.2,-6.95,,2025
Philadelphia 76ers,24,58,.293,37.0,109.6,115.8,-6.29,,2025
Cleveland Cavaliers*,64,18,.780,—,121.9,112.4,8.81,,2025
Indiana Pacers*,50,32,.610,14.0,117.4,115.1,1.68,,2025
Milwaukee Bucks*,48,34,.585,16.0,115.5,113.0,2.12,,2025
Detroit Pistons*,44,38,.537,20.0,115.5,113.6,1.73,,2025
Chicago Bulls,39,43,.476,25.0,117.8,119.4,-1.83,,2025
Orlando Magic*,41,41,.500,—,105.4,105.5,-0.70,,2025
Atlanta Hawks,40,42,.488,1.0,118.2,119.3,-1.41,,2025
Miami Heat*,37,45,.451,4.0,110.6,110.0,0.11,,2025
Charlotte Hornets,19,63,.232,22.0,105.1,114.2,-9.10,,2025
Washington Wizards,18,64,.220,23.0,108.0,120.4,-12.14,,2025
,68,14,.829,—,120.5,107.6,12.70,Oklahoma City Thunder*,2025
,50,32,.610,18.0,120.8,116.9,3.97,Denver Nuggets*,2025
,49,33,.598,19.0,114.3,109.3,5.15,Minnesota Timberwolves*,2025
,36,46,.439,32.0,110.9,113.9,-2.67,Portland Trail Blazers,2025
,17,65,.207,51.0,111.9,121.2,-8.51,Utah Jazz,2025
,50,32,.610,—,113.4,112.2,1.45,Los Angeles Lakers*,2025
,50,32,.610,—,112.9,108.2,4.84,Los Angeles Clippers*,2025
,48,34,.585,2.0,113.8,110.5,3.56,Golden State Warriors*,2025
,40,42,.488,10.0,115.7,115.3,0.58,Sacramento Kings,2025
,36,46,.439,14.0,113.6,116.6,-2.55,Phoenix Suns,2025
,52,30,.634,—,114.3,109.8,4.97,Houston Rockets*,2025
,48,34,.585,4.0,121.7,116.9,4.79,Memphis Grizzlies*,2025
,39,43,.476,13.0,114.2,115.4,-0.74,Dallas Mavericks,2025
,34,48,.415,18.0,113.9,116.7,-2.45,San Antonio Spurs,2025
,21,61,.256,31.0,109.8,119.3,-8.59,New Orleans Pelicans,2025
Cleveland Cavaliers*,64,18,.780,—,121.9,112.4,8.81,,2025
Boston Celtics*,61,21,.744,3.0,116.3,107.2,8.28,,2025
New York Knicks*,51,31,.622,13.0,115.8,111.7,3.59,,2025
Indiana Pacers*,50,32,.610,14.0,117.4,115.1,1.68,,2025
Milwaukee Bucks*,48,34,.585,16.0,115.5,113.0,2.12,,2025
Detroit Pistons*,44,38,.537,20.0,115.5,113.6,1.73,,2025
Orlando Magic*,41,41,.500,23.0,105.4,105.5,-0.70,,2025
Atlanta Hawks,40,42,.488,24.0,118.2,119.3,-1.41,,2025
Chicago Bulls,39,43,.476,25.0,117.8,119.4,-1.83,,2025
Miami Heat*,37,45,.451,27.0,110.6,110.0,0.11,,2025
Toronto Raptors,30,52,.366,34.0,110.9,115.2,-4.40,,2025
Brooklyn Nets,26,56,.317,38.0,105.1,112.2,-6.95,,2025
Philadelphia 76ers,24,58,.293,40.0,109.6,115.8,-6.29,,2025
Charlotte Hornets,19,63,.232,45.0,105.1,114.2,-9.10,,2025
Washington Wizards,18,64,.220,46.0,108.0,120.4,-12.14,,2025
,68,14,.829,—,120.5,107.6,12.70,Oklahoma City Thunder*,2025
,52,30,.634,16.0,114.3,109.8,4.97,Houston Rockets*,2025
,50,32,.610,18.0,113.4,112.2,1.45,Los Angeles Lakers*,2025
,50,32,.610,18.0,120.8,116.9,3.97,Denver Nuggets*,2025
,50,32,.610,18.0,112.9,108.2,4.84,Los Angeles Clippers*,2025
,49,33,.598,19.0,114.3,109.3,5.15,Minnesota Timberwolves*,2025
,48,34,.585,20.0,113.8,110.5,3.56,Golden State Warriors*,2025
,48,34,.585,20.0,121.7,116.9,4.79,Memphis Grizzlies*,2025
,40,42,.488,28.0,115.7,115.3,0.58,Sacramento Kings,2025
,39,43,.476,29.0,114.2,115.4,-0.74,Dallas Mavericks,2025
,36,46,.439,32.0,113.6,116.6,-2.55,Phoenix Suns,2025
,36,46,.439,32.0,110.9,113.9,-2.67,Portland Trail Blazers,2025
,34,48,.415,34.0,113.9,116.7,-2.45,San Antonio Spurs,2025
,21,61,.256,47.0,109.8,119.3,-8.59,New Orleans Pelicans,2025
,17,65,.207,51.0,111.9,121.2,-8.51,Utah Jazz,2025
